name,date_contact,url,email,type_contact,available_3aug,price,classment_damien,classment_claire,available_10aug,available_17aug,available_24aug,available_31aug,address
Château de Ripaille,2018-10-10,http://www.ripaille.fr/louer-le-chateau/,fondation@ripaille.fr,email,OTHER,,,,YES,,,YES,83 Avenue de Ripaille 74200 Thonon-les-Bains
La Bastie de la Jonchère,2018-10-16,https://www.labastiedelajonchere.com/,jm4awase@hotmail.fr,automatic email,NO,,,,,,,,Chemin de la Jonchère 26300 BEAUREGARD-BARET
Manoir de la Garde,2018-10-16,https://www.manoirdelagarde.com/,contact@manoirdelagarde.com,automatic email,YES,5200(venue only),,,,,,,La Garde 69640 JARNIOUX
Le Diamant,NA,https://www.facebook.com/sallelediamant69/,/ (facebook),NA,,,,,,,,,18 rue des Diamants 38280 VILLETTE D'ANTHON
Domaine de la Ferme de Montin,2018-10-16,http://www.fermedemontin.com/,contact@fermedemontin.com,automatic email,YES,155(pp),,,,,,,512 route de montin FERME DE MONTIN 38510 VEZERONCE MORESTEL
Château de Saint Trys,NA,http://www.chateaudesainttrys.com/contact/,web,NA,OTHER,,,,,,,YES,Anse 69480 ANSE
Château de Chavagneux,2018-10-16,http://www.chateaudechavagneux.com/fr/home,eric.frerejean@wanadoo.fr,automatic email,OTHER,,,,,YES,YES,,Le Domaine GENOUILLEUX 69220 TAPONAS
Domaine de Chanille,2018-10-16,https://www.seminaires-rhone.com/,contact@domaine-de-chanille.fr,automatic email,NO,,,,,,,,Chanille et Bouveau 38080 SAINT-MARCEL-BEL-ACCUEIL
Château de Chapeau Cornu,2018-10-16,https://www.chateau-chapeau-cornu.fr/fr/,reception@chapeau-cornu.fr,automatic email,OTHER,,,,,,YES,,312 rue de la Garenne 38890 VIGNIEU
Château de Pramenoux ,2018-10-16,http://pramenoux.com/,contact@pramenoux.com,automatic email,,,,,,,,,Lamure sur Azergues 69870 LAMURE SUR AZERGUES
Château de Cesarges ,NA,https://www.chateau-cesarges.com/fr,website,NA,,,,,,,,,770 Chemin de Césarges 38300 MAUBEC
chateau de la bourdeliere,2018-10-16,http://www.tourisme.cc-montsdulyonnais.fr/cgi-local/moteur_sitra2.pl?mois=-&date_debut_resa=&date_fin_resa=&action=Detail&HTMLPage=/hebergement/chambres-d-hotes.htm&alea=&page=1&famille=1&parametre=1!4!2!20!!!20!!!!1&ID=493222,Fillon_catherine@orange.fr,automatic email,,,,,,,,,La Bourdelière 69930  Saint-Laurent-de-Chamousset
Domaine des Alizés,2018-10-16,http://www.domainedesalizes.com/,domaine-des-alizes@wanadoo.fr,automatic email,resend,,,,,,,,Route Nationale 6 69830 SAINT GEORGES DE RENEINS
